name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,373,544823451,,yes,,,"POLYGON ((-111.9411294 33.4256455, -111.9411333 33.4259363, -111.9407313 33.4259399, -111.9407289 33.4257571, -111.9409717 33.4257549, -111.9409703 33.425647, -111.9411294 33.4256455))",POINT (-111.9409537 33.4258189),934.6,10059.5
Hayden Station,374,544823452,,yes,,,"POLYGON ((-111.9405655 33.4265272, -111.9405658 33.4267003, -111.9411166 33.4266998, -111.9411167 33.4267389, -111.9405725 33.4267396, -111.9405727 33.4268505, -111.9406333 33.4268505, -111.9406333 33.4268776, -111.9406865 33.4268775, -111.9406866 33.4268948, -111.9407428 33.4268947, -111.9407428 33.4269217, -111.940774 33.4269217, -111.9407741 33.4269743, -111.9407342 33.4269744, -111.9407342 33.4270104, -111.9406902 33.4270104, -111.9406902 33.4270376, -111.9406432 33.4270377, -111.9406432 33.4270577, -111.9405888 33.4270577, -111.9405889 33.4271365, -111.9406451 33.4271365, -111.9406451 33.427155, -111.9410491 33.4271547, -111.9410487 33.4267747, -111.9412997 33.4267745, -111.9412994 33.4264844, -111.9411178 33.4264845, -111.9411179 33.4265266, -111.9405655 33.4265272))",POINT (-111.9409049 33.4267899),3266.3,35158.7
Hayden Square Condominiums,375,544823454,,yes,,,"POLYGON ((-111.9413854 33.4272395, -111.9408203 33.4272386, -111.9408203 33.427218, -111.940794 33.4272168, -111.9407939 33.4271967, -111.9407706 33.4271964, -111.9407669 33.4271713, -111.9407414 33.4271718, -111.9407379 33.42707, -111.9407645 33.4270669, -111.9407657 33.4270451, -111.9407837 33.4270436, -111.9407873 33.427023, -111.9408071 33.4270205, -111.9408075 33.426998, -111.9409701 33.4269981, -111.941005 33.4269758, -111.9410526 33.4269711, -111.9411055 33.4269779, -111.9411457 33.4269999, -111.9412935 33.4269994, -111.9412946 33.4270329, -111.9413148 33.4270334, -111.9413146 33.4270533, -111.941344 33.4270548, -111.9413446 33.427067, -111.9413844 33.4270691, -111.9413854 33.4272395))",POINT (-111.9410657 33.4271188),1508.5,16236.9
ASU Bright Horizons,376,544915196,,yes,,,"POLYGON ((-111.9246522 33.4201054, -111.924475 33.4200109, -111.9247245 33.419685, -111.9249017 33.4197796, -111.9246522 33.4201054))",POINT (-111.9246884 33.4198952),838.3,9023.5
,377,552261822,,,bicycle_parking,,"POLYGON ((-111.9324523 33.4224549, -111.9324575 33.4224164, -111.932453 33.4223725, -111.932436 33.4223169, -111.9324217 33.4222853, -111.9323352 33.4223039, -111.9323426 33.422328, -111.9323538 33.4223311, -111.9323626 33.4224545, -111.9324523 33.4224549))",POINT (-111.9324018 33.4223747),155.8,1676.8
,378,552261824,,,bicycle_parking,,"POLYGON ((-111.9333434 33.4228119, -111.9331034 33.4228127, -111.9331197 33.4227758, -111.9331233 33.4227517, -111.9331287 33.4227118, -111.9331341 33.4226523, -111.933171 33.4226516, -111.9332171 33.4226508, -111.9332343 33.4227118, -111.9332757 33.4227637, -111.9333434 33.4228119))",POINT (-111.933197 33.4227466),226.2,2435.1
,379,552261827,,,bicycle_parking,,"POLYGON ((-111.9331625 33.4224536, -111.9331616 33.4223896, -111.9331946 33.4222771, -111.9332349 33.4222906, -111.9332129 33.4223536, -111.9332056 33.4224049, -111.9332092 33.4224518, -111.9331625 33.4224536))",POINT (-111.9331929 33.4223693),76.2,820.3
,380,552263212,,,bicycle_parking,,"POLYGON ((-111.9310409 33.4224655, -111.9308039 33.4223558, -111.9308071 33.4226887, -111.9308824 33.4226892, -111.9309072 33.4226813, -111.9310409 33.4224655))",POINT (-111.930891 33.4225269),514.1,5534.3
,381,552263222,,,bicycle_parking,,"POLYGON ((-111.9307373 33.4226825, -111.9304292 33.4226892, -111.9304276 33.4226643, -111.9304619 33.4226644, -111.9304497 33.4225251, -111.9307341 33.4225036, -111.9307373 33.4226825))",POINT (-111.9305956 33.4226005),501.8,5401.1
,382,552416302,,,parking,,"POLYGON ((-111.936257 33.4207961, -111.9358615 33.4208006, -111.9358542 33.420353, -111.9362497 33.4203485, -111.936257 33.4207961))",POINT (-111.9360556 33.4205745),1825,19644.2
